Symbol,Name,Options?
XHY,iShares U.S. High Yield Bond Index Fund (CAD-Hedged) ETF,No
XIC,iShares S&P/TSX Capped Composite Index Fund,Yes
XID,iShares S&P CNX Nifty India Index Fund ETF,No
XIG,iShares U.S. IG Corporate Bond Index Fund (CAD-Hedged) ETF,No
XIN,iShares MSCI EAFE 100% Hedged to CDN$ Index Fund,Yes
XIT,iShares S&P/TSX Capped Information Technology Index Fund,Yes
XIU,iShares S&P/TSX 60 Index Fund,Yes
XLA,iShares S&P Latin America 40 Index Fund ETF,No
XLB,iShares DEX Long Term Bond Index Fund,No
XMA,iShares S&P/TSX Capped Materials Index Fund,Yes
XMD,iShares S&P/TSX Completion Index Fund,No
XMI,iShares MSCI EAFE Minimum Volatility Index Fund,No
XMM,iShares MSCI Emerging Markets Minimum Volatility Index Fund,No
XMU,iShares MSCI USA Minimum Volatility Index Fund,No
XMV,iShares MSCI Canada Minimum Volatility Index Fund,No
XMW,iShares MSCI All Country World Minimum Volatility Index Fund,No
XPF,iShares S&P/TSX North American Preferred Stock IndexFund,No
XQQ,iShares NASDAQ 100 Index Fund (CAD-Hedged),No
XRB,iShares DEX Real Return Bond Index Fund,No
XRE,iShares S&P/TSX Capped REIT Index Fund,Yes
XSB,iShares DEX Short Term Bond Index Fund,Yes
XSH,iShares DEX Short Term Corporate Universe + Maple Bond Index Fund,No
XSP,iShares S&P 500 Hedged to CDN$ Index Fund,Yes
XST,iShares S&P/TSX Capped Consumer Staples Index Fund,No
XSU,iShares Russell 200 Hedged to CDN$ Index Fund,No
XTR,iShares S&P/TSX Income Trust Index Fund,No
XUT,iShares S&P/TSX Capped Utilities Index Fund,No
XVX,iShares S&P/TSX Venture Index Fund,No
XWD,iShares MSCI World Index Fund ETF,No
ZAG,BMO Aggregate Bond Index ETF,No
ZCA,BMO Agriculture Commodities Index ETF,No
ZCB,BMO Base Metals Commodities Index ETF,No
ZCE,BMO Energy Commodities Index ETF,No
ZCH,BMO China Equity Index ETF,No
ZCM,BMO Mid Corporate Bond Index ETF,No
ZCN,BMO Dow Jones Canada Titans 60 Index ETF,Yes
ZCP,BMO Precious Metals Commodities Index ETF,No
ZCS,BMO Short Corporate Bond Index ETF,No
ZDJ,BMO Dow Jones Diamonds Index ETF,No
ZDM,BMO International Equity Hedged to CAD Index ETF,No
ZDV,BMO Canadian Dividend ETF,No
ZEB,BMO S&P/TSX Equal Weight Banks Index ETF,Yes
ZEF,BMO Emerging Markets Bond Hedged to CAD Index ETF,No
ZEM,BMO Emerging Markets Equity Index ETF,No
ZEO,BMO S&P/TSX Equal Weight Oil & Gas Index ETF,No
ZFL,BMO Long Federal Bond Index ETF,No
ZFM,BMO Mid Federal Bond Index ETF,No
ZFS,BMO Short Federal Bond Index ETF,No
ZGD,BMO S&P/TSX Equal Weight Global Gold Index ETF,No
ZGI,BMO Global Infrastructure Index ETF,No
ZHY,BMO High Yield US Corporate Bond Hedged to CAD ETF,No
ZID,BMO India Equity Index ETF,No
ZIN,BMO S&P/TSX Equal Weight Industrials Index ETF,No
ZJG,BMO Junior Gold Index ETF,No
ZJN,BMO Junior Gas Index ETF,No
ZJO,BMO Junior Oil Index ETF,No
ZLB,BMO Low Volatility Canadian Equity ETF,No
ZLC,BMO Long Corporate Bond Index ETF,No
ZMI,BMO Monthly Income ETF,No
ZMT,BMO S&P/TSX EW Global Base Metals Hedged to CAD Index ETF,No
ZPR,BMO S&P/TSX Laddered Preferred Share Index ETF,No
ZPS,BMO Short Provincial Bond Index ETF,No
ZQQ,BMO Nasdaq 100 Equity Hedged to CAD Index ETF,No
ZRE,BMO Equal Weight REITs Index ETF,No
ZRR,BMO Real Return Bond Index ETF,No
ZSP,BMO S&P 500 Index ETF,No
ZSP.U,BMO S&P 500 Index ETF (traded in U.S. Dollars),No
ZUB,BMO Equal Weight US Banks Hedged to CAD Index ETF,No
ZUE,BMO US Equity Hedged to Cad Index ETF,No
ZUH,BMO Equal Weight US Health Care Hedged to CAD Index ETF,No
ZUT,BMO Equal Weight Utilities Index ETF,No
ZWA,BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,No
ZWB,BMO Covered Call Canadian Banks ETF,No
ZWU,BMO Covered Call Utilities ETF,No
ZXA,BMO 2013 Corporate Bond Target Maturity ETF,No
ZXB,BMO 2015 Corporate Bond Target Maturity ETF,No
ZXC,BMO 2020 Corporate Bond Target Maturity ETF,No
ZXD,BMO 2025 Corporate Bond Target Maturity ETF,No
